corporate_id,shop_id,shop_name,post_code,address_123,address_4,latitude,longitude,phone_number,fax_number,url,open_time,holiday,description
co101102,ofid0001,GFCジニー　イオン松任店,924-0841,石川県白山市平松町102-1,,36.5072307,136.5651722,076-274-2796,,,10:00〜21:00,年中無休,イオンサービスカウンターでお渡しするスタンプカードに、各店お買上げ毎にスタンプを捺印。スタンプ12個貯まるとトップバリュ商品をプレゼント
co100010,ofid0005,GOLF 5　金沢大桑店,921-8045,石川県金沢市大桑2丁目421番,,36.5335899,136.6750547,076-243-8856,076-243-8860,http://www.alpen-group.jp/,10:00〜20:30,なし,プレミアムパスポートのご提示で店内商品自店販売価格（税込）よりレジにてさらに5%OFF
co100010,ofid0002,GOLF 5　金沢駅西店,920-0024,石川県金沢市西念3丁目3番2号,,36.5883547,136.6349444,076-234-3544,076-232-0860,http://www.alpen-group.jp/,10:00〜20:00,なし,全商品5％引き（他の割引企画との併用可、加工賃は除く）
co100161,ofid0001,hair & cure 藤,924-0867,石川県白山市茶屋2丁目63,,36.5205122,136.5607362,076-275-3208,076-275-3722,,9:00〜18:00,毎週月曜日、第1・3・5日曜日,技術料金10％引き
co101459,ofid0001,hair azblue,926-0852,石川県七尾市小島町大開地3-5,フリーデコート103,37.0561205,136.9538462,0767-53-2008,,,9時30分から19時,毎週月曜日、第1・3日曜日,カット料金 10％OFF
co830101,ofid0001,hair design  tsumugi,920-2134,石川県白山市七原町ト−４,,36.4864438,136.5993207,076-227-8730,076-227-8740,http://www.hair-tsumugi.com,平日１０〜１９時／土曜９〜１９時／日祝９〜１８時,月曜・第３日曜,すべての技術メニューがお会計から5%off！
co100158,ofid0001,hair Luce,923-1121,石川県能美市寺井町ロ55-1,,36.4440661,136.4927668,0761-57-4880,0761-57-4880,,8:30〜19:00　金曜日ナイター12:00〜22:00,毎週月曜日,技術料金10％引き（ファミリー全員有効）
co100159,ofid0001,hair pleasure,920-0265,石川県河北郡内灘町大学2-206-1,,36.6561017,136.6481222,076-286-8892,,http://ameblo.jp/hairpleasure/,10:00〜20:00（土・日・祝は19:00）,毎週月曜日、第2火曜日、第3日曜日,技術料金7％引き（一部施術を除く、他サービスとの併用不可）
co100160,ofid0001,hair studio ease,926-0015,石川県七尾市矢田新町ト-30-3,,37.0455081,136.9815135,0767-53-1133,0767-53-1133,,9:00〜19:00　土・日・祝8:00〜18:00,毎週月曜日、第1、第3日曜日,全メニュー500円引き（ご家族全員）
co101011,ofid0006,HAIR&MAKEべっぴんさん,923-1245,石川県能美市辰口町505,サンパーク辰口,36.4428554,136.5472972,0761-51-7167,0761-51-7167,http://www.beppinsan.com,9:00〜19:00,毎週月曜日、第3日曜日、年末年始,平日特典！ファミリーパック割引で50％引き。例えばパパ＆キッズ、ママ＆キッズ、パパ＆ママ＆キッズ
co101355,ofid0001,HAIR　CLUB　道,920-0025,石川県金沢市駅西本町D-FOREST 1F5-2-26,D-FOREST 1F,36.58364,136.6288246,076-255-6808,076-255-6862,http://club-michi.biz,9:00〜19：00,毎週月曜日、第一火曜日、第三日曜日,全メニュー10％引き＋オマケつき
co101429,ofid0001,HappyHair　Nico,925-0034,石川県羽咋市旭町コ112-2,,36.8965136,136.7779261,0767-22-1925,,,10時〜,不定休,プレパス提示で、ご来店ポイント追加次回ご来店でお使い頂ける割引券プレゼント
co100163,ofid0001,Heart&Beer　日本海倶楽部,927-0605,石川県鳳珠郡能登町字立壁92番地,,37.3372296,137.2584322,0768-72-8181,0768-72-8282,http://www.nihonkai-club.com,11:30〜22:00,水曜日（祝日は営業）,●お食事の方にオリジナルコースター（5枚）進呈　●ラバの引くミニチュア馬車「ラバス」の小人分無料クーポンプレゼント（土日に限る）
